dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
Bitbrains,120,extratrees,10,1069.8927964079344,111.75368488105353,958.1391115268808,46.124352638387684,0.4189170309163124,0.5810829690836876,11.952117531970151,13.940493194151736,-158.82034767746563,-17.4322412996654,200412
Bitbrains,120,linear_reg,10,988.0457763671875,102.4216079711914,885.6241455078125,42.59583282470703,0.32409735943955453,0.6759026405604455,11.0475435256958,12.776383399963379,-76.97332763671875,-8.448651313781738,200412
ByteDance,10,naive,1,16.63473129272461,8.315278053283691,8.319454193115234,1.1182490587234497,0.4822370570935064,0.4824082286852466,1.6182433366775513,1.6174310445785522,0.0,0.0,64263
ByteDance,10,hetero_ensemble,1,14.120159351934962,7.043357409790249,7.076801942144712,0.9492100960172889,0.4957284907333925,0.5042715092666076,1.3765311964397695,1.3700257943509966,2.514571940789647,15.11639651125248,64263
ByteDance,10,homo_ensemble,1,14.11748332576395,7.02696243789753,7.090520887866418,0.949030203496573,0.4966932760686554,0.5033067239313447,1.3791997120945214,1.3668367563562096,2.51724796696066,15.132483492905036,64263
ByteDance,10,xgboost,1,10.82551383972168,5.437079429626465,5.388434886932373,0.7277317047119141,0.5001789521186375,0.4998210478813625,1.048121452331543,1.0575834512710571,5.80921745300293,34.92222213745117,64263
ByteDance,10,lightgbm,1,14.311221386144592,6.97726721712941,7.333954169015181,0.9620540028966066,0.5016728132829155,0.4983271867170845,1.4265506918863073,1.3571703813098928,2.3235099065800178,13.967823499476852,64263
ByteDance,10,extratrees,1,11.15324606097958,5.564554745218857,5.588691315760723,0.7497630515760513,0.4917759830695735,0.5076482579400277,1.0870740775719938,1.0823791966642657,5.4814852317450296,32.9520515557857,64263
ByteDance,10,bilstm,1,,,,,0.48771454802919256,0.5121142803790673,,,,,64263
ByteDance,10,linear_reg,1,17.318660736083984,8.588350296020508,8.730310440063477,1.1642253398895264,0.4775064967399592,0.5224935032600407,1.6981602907180786,1.6705470085144043,-0.683929443359375,-4.111454486846924,64263
ByteDance,10,naive,2,24.954185485839844,8.315278053283691,16.63890838623047,1.6775140762329102,0.4822370570935064,0.4824082286852466,1.6182433366775513,1.6174310445785522,0.0,0.0,64263
ByteDance,10,hetero_ensemble,2,21.196961294079674,7.043357409790249,14.153603884289424,1.4249392775068734,0.4957284907333925,0.5042715092666076,1.3765311964397695,1.3700257943509966,3.7572241917601694,15.056488996173375,64263
ByteDance,10,homo_ensemble,2,21.208004213630367,7.02696243789753,14.181041775732837,1.4256816239964394,0.4966932760686554,0.5033067239313447,1.3791997120945214,1.3668367563562096,3.7461812722094763,15.012236221195167,64263
