container_id,mae_naive,mae_ensemble,n_timesteps,skill,ens_wins,horizon,acf_24h,acf_quartile
c_11133,5.51875,5.419461150908399,320,0.01799121837280398,1,120min,0.1009361269754872,Q2
c_11138,1.888179,1.429943564524782,313,0.24268641559446227,1,120min,0.7792564051730851,Q4 (high)
c_1114,4.7539434,4.076173898151956,317,0.14256996391108503,1,120min,0.534967232228758,Q3
c_11178,3.5911949,3.7146904041729885,318,-0.034388425195923306,0,120min,,
c_11179,0.77316296,1.0253367849863821,313,-0.32615869706439155,0,120min,-0.0077283678277287,Q1 (low)
c_11203,3.3625,2.0581824081059206,320,0.3879011338905371,1,120min,0.9277918404393568,Q4 (high)
c_11210,2.48125,2.3547051054771186,320,0.05100047950617826,1,120min,0.2890534971429864,Q2
c_11227,3.874608,3.125557019998088,319,0.1933230438157341,1,120min,0.8790283217019791,Q4 (high)
c_11240,0.6949686,0.7196380216667059,318,-0.035497202513062966,0,120min,-0.0497620458539959,Q1 (low)
c_11243,2.609375,2.7237741356323726,320,-0.04384158491300506,0,120min,0.2297358132581642,Q2
c_11245,2.3154573,2.330312912457671,317,-0.006415824692532593,0,120min,0.0308788500925201,Q1 (low)
c_11250,4.420561,4.279750736964017,321,0.0318534468875586,1,120min,0.1438279253360387,Q2
c_11264,2.059937,1.4340703277629754,317,0.30382806485258235,1,120min,0.6292911288777197,Q3
c_11271,0.70625,0.7257254606663073,320,-0.027575856165166016,0,120min,,
c_11277,4.953271,5.687651975358172,321,-0.1482618407532191,0,120min,-0.0477024545054117,Q1 (low)
c_11286,0.9314642,0.9848756577335859,321,-0.05734140158516956,0,120min,0.3834429592771745,Q3
c_11337,0.84326017,0.9715167806960753,319,-0.15209613400154892,0,120min,-0.0713808502358799,Q1 (low)
c_11349,2.2890365,1.447483792986075,301,0.3676449522929151,1,120min,0.8236282532088013,Q4 (high)
c_11359,1.1666666,1.3465529472277007,318,-0.15418827979230484,0,120min,0.0335544879057396,Q1 (low)
c_1137,0.50155765,0.5414978856405775,321,-0.07963239640236912,0,120min,0.0634499329996982,Q2
c_11380,5.635514,3.935930404456145,321,0.30158445949017737,1,120min,0.636400804529089,Q3
c_11418,1.7711599,1.648711223925257,319,0.06913473157654473,1,120min,0.1708118616132078,Q2
c_11430,3.2305295,2.6441855704261106,321,0.18150088641154077,1,120min,0.8163841752718388,Q4 (high)
c_11433,3.8594248,2.5404473648414965,313,0.34175493057037,1,120min,0.8603041608987829,Q4 (high)
c_1144,4.6292834,2.4602755552637885,321,0.4685407377995447,1,120min,0.949464226269236,Q4 (high)
c_11450,3.203125,2.6958721088170567,320,0.15836187822296766,1,120min,0.745311631108274,Q4 (high)
c_11455,0.69470406,0.7572377007544138,321,-0.09001479759250487,0,120min,-0.1714894186759281,Q1 (low)
c_11459,3.2375,3.228368669906595,320,0.0028204733727195735,1,120min,-0.0020560448479968,Q1 (low)
c_11473,4.523511,3.5248869750736826,319,0.2207630251494785,1,120min,0.8669423288241092,Q4 (high)
c_11502,7.074534,4.869621034444128,322,0.3116689981017212,1,120min,,
c_11505,1.2987422,1.3587679741014271,318,-0.046218410512824194,0,120min,0.011305888816945,Q1 (low)
c_11517,0.0,0.04956542347607569,320,0.0,0,120min,-0.0193199381761978,Q1 (low)
c_11523,0.44230768,0.47576497216730645,312,-0.07564257364490742,0,120min,-0.0373516404915552,Q1 (low)
c_11532,0.73040754,0.7646961353569203,319,-0.04694447638572135,0,120min,0.1713528669561953,Q2
c_11533,4.790625,4.0797799181168815,320,0.14838255198427916,1,120min,0.7406664179481677,Q4 (high)
c_11539,1.100629,1.3086749781921914,318,-0.1890246499240304,0,120min,0.270177387306034,Q2
c_11540,3.330218,2.435701211736396,321,0.26860609256386697,1,120min,0.4755442569709548,Q3
c_11550,0.0063897762,0.07353520770728217,313,-10.508260209829807,0,120min,-0.006672984438345,Q1 (low)
c_11555,3.346875,2.769674290374909,320,0.17245958398950925,1,120min,0.8995958412363338,Q4 (high)
c_11564,0.78369904,0.8260585854967136,319,-0.05405078726088384,0,120min,-0.0411607319460584,Q1 (low)
c_11567,2.3021808,2.7379701452796548,321,-0.18929416162961912,0,120min,0.1132996331848992,Q2
c_11585,2.0344827,2.3430783206743917,319,-0.15168258766898288,0,120min,0.036517080001521,Q1 (low)
c_11589,6.411215,4.026202035294291,321,0.3720063758584423,1,120min,0.9282448818949588,Q4 (high)
c_11591,1.2087227,1.42612777044036,321,-0.17986346903443948,0,120min,-0.0078170460238323,Q1 (low)
c_11601,2.15,1.9901051341931033,320,0.07436974608459379,1,120min,0.6550663594776971,Q3
c_11624,2.2767296,2.086009006895934,318,0.08376953425052037,1,120min,,
c_1163,2.166134,1.9226838505219572,313,0.1123892866894342,1,120min,0.7489406387959271,Q4 (high)
c_11634,1.3291537,1.2719332091172746,319,0.043050288085692105,1,120min,0.5799994617242361,Q3
c_11642,4.6881027,4.5977767869154595,311,0.019267055481825883,1,120min,,
c_11655,4.5768027,2.3579995049085567,319,0.48479328393079224,1,120min,0.949455962094442,Q4 (high)
c_1166,7.573209,6.101511717123345,321,0.19432939575708752,1,120min,0.8441446572062472,Q4 (high)
c_11680,1.7012578,1.4445276239516516,318,0.15090611028433756,1,120min,0.5244304170735147,Q3
c_11687,2.0444446,2.0105893159372714,315,0.016559629795356648,1,120min,0.1283599709120706,Q2
c_11730,2.465625,2.687622748456172,320,-0.09003708855935234,0,120min,0.2965959494499044,Q2
c_11737,3.7142856,3.8731078994820956,315,-0.04275984777748587,0,120min,-0.0290156812733988,Q1 (low)
c_11739,0.0,0.05143855841169489,315,0.0,0,120min,,
c_11751,2.2429023,2.460860533462381,317,-0.09717688399207257,0,120min,0.1991342855798372,Q2
c_11759,1.5579938,1.5687230963767507,319,-0.006886630062390909,0,120min,,
c_1177,0.6865204,0.6572331349749073,319,0.04266044066265419,1,120min,0.3623267059453545,Q3
c_11781,0.95638627,0.9826686340753119,321,-0.027480911020995244,0,120min,0.2646912185255063,Q2
c_11787,5.0507936,3.6963067231081475,315,0.26817308706663046,1,120min,0.8568835688867029,Q4 (high)
c_11802,6.172956,4.36453768818434,318,0.29295823664229126,1,120min,0.8243417482241945,Q4 (high)
c_11809,1.3302181,1.2416658518131365,321,0.06656970495550717,1,120min,0.5254626762181863,Q3
c_11812,0.0,0.021301719850760646,321,0.0,0,120min,,
c_11821,1.0965732,1.1334631598582732,321,-0.03364109675792925,0,120min,-0.0200172952930878,Q1 (low)
c_11843,2.847352,2.970538687045678,321,-0.04326358593734022,0,120min,0.1354504782850686,Q2
c_11857,0.88643533,0.951823597385423,317,-0.07376541216793214,0,120min,0.2426463010484664,Q2
