Horizon,Strategy,variant,safety_margin,violation_rate,waste_rate,viol_severity
30min,Reactive,lag=1,1.467,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.533,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=1,1.6,0.020164057866714644,0.4670396063583551,0.01774992749428467
30min,Reactive,lag=2,1.0,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.067,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.133,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.2,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.267,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.333,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.4,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.467,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.533,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=2,1.6,0.024279740410320345,0.46872833160057814,0.020862448145203997
30min,Reactive,lag=3,1.0,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.067,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.133,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.2,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.267,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.333,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.4,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.467,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.533,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=3,1.6,0.027707254662855087,0.4701813619595571,0.02354058030404259
30min,Reactive,lag=4,1.0,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.067,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.133,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.2,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.267,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.333,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.4,0.030654383831922163,0.47145920598273666,0.02589584187061223
30min,Reactive,lag=4,1.467,0.030654383831922163,0.47145920598273666,0.02589584187061223
