Horizon,Strategy,variant,target_util,safety_margin,violation_rate,waste_rate,viol_severity
30min,Reactive,lag=1_tu=0.7,0.7,1.467,0.01977332851130904,0.4881586532188609,0.017050203309548328
30min,Reactive,lag=1_tu=0.7,0.7,1.533,0.018936137861432226,0.5025528734401195,0.016658936637636984
30min,Reactive,lag=1_tu=0.7,0.7,1.6,0.017955982672213208,0.517161730103896,0.016261182612248827
30min,Reactive,lag=1_tu=0.8,0.8,1.0,0.061700708583142666,0.2292093746882226,0.027993223797843497
30min,Reactive,lag=1_tu=0.8,0.8,1.067,0.04591403106086352,0.2718094145124504,0.025108611800290493
30min,Reactive,lag=1_tu=0.8,0.8,1.133,0.040578303677278146,0.30859405415369784,0.0233048633428716
30min,Reactive,lag=1_tu=0.8,0.8,1.2,0.038075818456843186,0.3340378225158817,0.022460303854720857
30min,Reactive,lag=1_tu=0.8,0.8,1.267,0.028529300764072767,0.36870472041184815,0.020678307111900683
30min,Reactive,lag=1_tu=0.8,0.8,1.333,0.026273368795808473,0.39388255940333017,0.019893219923044138
30min,Reactive,lag=1_tu=0.8,0.8,1.4,0.025247779960612057,0.415149325054085,0.019254699955498517
30min,Reactive,lag=1_tu=0.8,0.8,1.467,0.022407874196051634,0.43561802644245956,0.01857649264903594
30min,Reactive,lag=1_tu=0.8,0.8,1.533,0.020652923897431424,0.4545508233189859,0.018002787507177185
30min,Reactive,lag=1_tu=0.8,0.8,1.6,0.020166480994500104,0.4692461917451698,0.01764495565703094
30min,Reactive,lag=2_tu=0.5,0.5,1.0,0.024263990079714845,0.4691456073422851,0.020847447974947662
30min,Reactive,lag=2_tu=0.5,0.5,1.067,0.02325899783069485,0.49535620009869347,0.01968682814795158
30min,Reactive,lag=2_tu=0.5,0.5,1.133,0.021359871428839702,0.51644360136288,0.018886212407107555
30min,Reactive,lag=2_tu=0.5,0.5,1.2,0.02070865583649703,0.5323010450015179,0.01836243933884181
30min,Reactive,lag=2_tu=0.5,0.5,1.267,0.01844545448487635,0.5491908087163027,0.01763218643186165
30min,Reactive,lag=2_tu=0.5,0.5,1.333,0.018026253377991578,0.5612901220404591,0.017269863337000695
30min,Reactive,lag=2_tu=0.5,0.5,1.4,0.017363527928667966,0.5736493265825386,0.016802803241210956
30min,Reactive,lag=2_tu=0.5,0.5,1.467,0.01685103640204294,0.5844075381813639,0.016453161307897427
30min,Reactive,lag=2_tu=0.5,0.5,1.533,0.01670201404323708,0.594633521743797,0.016074252897586704
30min,Reactive,lag=2_tu=0.5,0.5,1.6,0.01632642923649061,0.6036457349070087,0.015793711552890423
30min,Reactive,lag=2_tu=0.6,0.6,1.0,0.032437805882021546,0.3960261753781867,0.023796493189159485
30min,Reactive,lag=2_tu=0.6,0.6,1.067,0.027825987924342682,0.4259575316995108,0.022372797969135463
