target_util,tolerance,reaction_lag,violation_rate,waste_rate,waste_cost_ph,viol_cost_ph,total_cost_ph
0.4,0.1,3,0.11908,0.6320869164742375,0.031604345823711875,0.05954,0.09114434582371188
0.4,0.15,1,0.0749,0.6145752118328702,0.030728760591643513,0.03745,0.06817876059164352
0.4,0.15,2,0.0986,0.6231085506465084,0.03115542753232542,0.0493,0.08045542753232542
0.4,0.15,3,0.11988,0.6312904720831134,0.031564523604155674,0.05994,0.09150452360415567
0.4,0.2,1,0.07554,0.6135879819044253,0.030679399095221268,0.03777,0.06844939909522127
0.4,0.2,2,0.09924,0.6221794970081143,0.031108974850405716,0.04962,0.08072897485040571
0.4,0.2,3,0.12064,0.6304419752628134,0.031522098763140674,0.06032,0.09184209876314067
0.45,0.05,1,0.0864,0.5930441746086464,0.029652208730432325,0.0432,0.07285220873043233
0.45,0.05,2,0.11222,0.6030709896567362,0.030153549482836814,0.05611,0.08626354948283682
0.45,0.05,3,0.13522,0.6125545843580725,0.03062772921790363,0.06761,0.09823772921790364
0.45,0.1,1,0.08676,0.5913282465610068,0.02956641232805034,0.04338,0.07294641232805034
0.45,0.1,2,0.11284,0.6014155429159599,0.030070777145797995,0.05642,0.08649077714579799
0.45,0.1,3,0.1363,0.6109862740423716,0.03054931370211858,0.06815,0.09869931370211858
0.45,0.15,1,0.08712,0.5903734492112783,0.029518672460563916,0.04356,0.07307867246056392
0.45,0.15,2,0.11306,0.6004610826164605,0.030023054130823026,0.05653,0.08655305413082302
0.45,0.15,3,0.1367,0.6101356018938614,0.03050678009469307,0.06835,0.09885678009469306
0.45,0.2,1,0.08758,0.5895439097994158,0.029477195489970794,0.04379,0.0732671954899708
0.45,0.2,2,0.11352,0.5997657060441438,0.029988285302207193,0.05676,0.08674828530220718
0.45,0.2,3,0.13738,0.6094915708828835,0.030474578544144176,0.06869,0.09916457854414418
0.5,0.05,1,0.09746,0.5704059976585033,0.028520299882925166,0.04873,0.07725029988292517
0.5,0.05,2,0.12494,0.5819893606306877,0.02909946803153439,0.06247,0.09156946803153439
0.5,0.05,3,0.14816,0.5925756970196058,0.02962878485098029,0.07408,0.10370878485098028
0.5,0.1,1,0.09808,0.5685907425818976,0.02842953712909488,0.04904,0.07746953712909488
0.5,0.1,2,0.12582,0.5802712137941584,0.02901356068970792,0.06291,0.09192356068970792
0.5,0.1,3,0.14946,0.5910285561196101,0.02955142780598051,0.07473,0.10428142780598051
0.5,0.15,1,0.09906,0.567021176254069,0.02835105881270345,0.04953,0.07788105881270345
0.5,0.15,2,0.12746,0.5786993220315588,0.028934966101577943,0.06373,0.09266496610157794
0.5,0.15,3,0.15136,0.5895632161272912,0.02947816080636456,0.07568,0.10515816080636456
0.5,0.2,1,0.09986,0.5663461050845738,0.028317305254228695,0.04993,0.0782473052542287
0.5,0.2,2,0.12844,0.5781424468325427,0.028907122341627137,0.06422,0.09312712234162714
0.5,0.2,3,0.15234,0.5890648353644424,0.029453241768222123,0.07617,0.10562324176822213
0.55,0.05,1,0.10966,0.5445888016883202,0.027229440084416013,0.05483,0.08205944008441601
0.55,0.05,2,0.14098,0.5583078935039646,0.02791539467519823,0.07049,0.09840539467519822
0.55,0.05,3,0.16494,0.5704524348177398,0.02852262174088699,0.08247,0.11099262174088699
0.55,0.1,1,0.1105,0.5425877313157561,0.027129386565787807,0.05525,0.0823793865657878
0.55,0.1,2,0.1421,0.5564134066361435,0.027820670331807174,0.07105,0.09887067033180717
0.55,0.1,3,0.1665,0.5687949057396852,0.028439745286984258,0.08325,0.11168974528698426
0.55,0.15,1,0.11198,0.5409553232595726,0.02704776616297863,0.05599,0.08303776616297863
0.55,0.15,2,0.1432,0.5547723664436987,0.027738618322184935,0.0716,0.09933861832218494
0.55,0.15,3,0.16786,0.5672588018562318,0.02836294009281159,0.08393,0.1122929400928116
0.55,0.2,1,0.1123,0.5401906356879143,0.027009531784395715,0.05615,0.08315953178439571
0.55,0.2,2,0.1435,0.5541425296947162,0.027707126484735813,0.07175,0.09945712648473581
0.55,0.2,3,0.16822,0.5665773771420465,0.028328868857102327,0.08411,0.11243886885710233
0.6,0.05,1,0.12342,0.5203966185195997,0.026019830925979988,0.06171,0.08772983092598
0.6,0.05,2,0.15684,0.5360669652550728,0.026803348262753643,0.07842,0.10522334826275365
0.6,0.05,3,0.18264,0.5495825846557589,0.027479129232787947,0.09132,0.11879912923278795
0.6,0.1,1,0.12474,0.5182788026689539,0.025913940133447694,0.06237,0.0882839401334477
0.6,0.1,2,0.15828,0.5341519878899439,0.026707599394497197,0.07914,0.1058475993944972
0.6,0.1,3,0.18414,0.5478062832831447,0.02739031416415724,0.09207,0.11946031416415724
0.6,0.15,1,0.12552,0.5167056581658378,0.02583528290829189,0.06276,0.08859528290829188
0.6,0.15,2,0.15986,0.5325120477660805,0.026625602388304026,0.07993,0.10655560238830403
0.6,0.15,3,0.18612,0.5463724804009322,0.027318624020046613,0.09306,0.12037862402004662
0.6,0.2,1,0.12754,0.5150494692607595,0.025752473463037974,0.06377,0.08952247346303796
0.6,0.2,2,0.16158,0.5310715110095988,0.026553575550479942,0.08079,0.10734357555047994
0.6,0.2,3,0.188,0.5450319863359137,0.027251599316795685,0.094,0.12125159931679569
0.65,0.05,1,0.1358,0.49495018745704744,0.024747509372852375,0.0679,0.09264750937285238
0.65,0.05,2,0.17174,0.5127342472297263,0.025636712361486316,0.08587,0.11150671236148632
0.65,0.05,3,0.19762,0.52783068654353,0.026391534327176502,0.09881,0.1252015343271765
0.65,0.1,1,0.13702,0.4927759507851744,0.02463879753925872,0.06851,0.09314879753925873
0.65,0.1,2,0.1729,0.5107843191762619,0.025539215958813095,0.08645,0.11198921595881309
0.65,0.1,3,0.19876,0.525919962549336,0.026295998127466802,0.09938,0.1256759981274668
0.65,0.15,1,0.13806,0.49147454638784116,0.024573727319392058,0.06903,0.09360372731939205
0.65,0.15,2,0.17426,0.5095407208197449,0.025477036040987246,0.08713,0.11260703604098725
0.65,0.15,3,0.20088,0.5248205067545701,0.02624102533772851,0.10044,0.12668102533772851
0.65,0.2,1,0.1406,0.4897458394418391,0.024487291972091957,0.0703,0.09478729197209196
0.65,0.2,2,0.1763,0.5079940572966306,0.025399702864831532,0.08815,0.11354970286483154
0.65,0.2,3,0.20356,0.5234436450462885,0.026172182252314425,0.10178,0.12795218225231442
0.7,0.05,1,0.15702,0.47024791981168357,0.02351239599058418,0.07851,0.10202239599058417
0.7,0.05,2,0.19548,0.49067892996030127,0.024533946498015064,0.09774,0.12227394649801505
0.7,0.05,3,0.22214,0.5073414049839114,0.025367070249195572,0.11107,0.13643707024919557
0.7,0.1,1,0.15822,0.46750716671099685,0.023375358335549844,0.07911,0.10248535833554984
0.7,0.1,2,0.19706,0.48809281750713424,0.024404640875356712,0.09853,0.12293464087535672
0.7,0.1,3,0.22366,0.5051083465979919,0.025255417329899596,0.11183,0.1370854173298996
0.7,0.15,1,0.16038,0.46536304714129906,0.023268152357064954,0.08019,0.10345815235706496
0.7,0.15,2,0.19968,0.4860631412776727,0.024303157063883637,0.09984,0.12414315706388364
0.7,0.15,3,0.22668,0.5032166724913877,0.025160833624569386,0.11334,0.13850083362456939
0.7,0.2,1,0.16194,0.46452874970421504,0.023226437485210753,0.08097,0.10419643748521075
0.7,0.2,2,0.20084,0.4853816924704585,0.024269084623522924,0.10042,0.12468908462352292
0.7,0.2,3,0.2281,0.5026810066947681,0.02513405033473841,0.11405,0.1391840503347384
0.75,0.05,1,0.1729,0.44660498307174873,0.022330249153587438,0.08645,0.10878024915358744
0.75,0.05,2,0.21172,0.46935767615087054,0.023467883807543527,0.10586,0.1293278838075435
0.75,0.05,3,0.24072,0.4876148046692298,0.02438074023346149,0.12036,0.14474074023346148
0.75,0.1,1,0.17526,0.4434930372492479,0.022174651862462397,0.08763,0.1098046518624624
0.75,0.1,2,0.21424,0.46659775310111046,0.023329887655055524,0.10712,0.13044988765505552
0.75,0.1,3,0.24318,0.48501131822653204,0.024250565911326603,0.12159,0.1458405659113266
0.75,0.15,1,0.17678,0.4413302886291607,0.022066514431458035,0.08839,0.11045651443145803
0.75,0.15,2,0.21642,0.46449066823468216,0.02322453341173411,0.10821,0.1314345334117341
0.75,0.15,3,0.24546,0.48330059309357887,0.024165029654678944,0.12273,0.14689502965467896
0.75,0.2,1,0.1789,0.4401916047464919,0.022009580237324595,0.08945,0.1114595802373246
0.75,0.2,2,0.21862,0.4635574541914854,0.023177872709574273,0.10931,0.13248787270957427
0.75,0.2,3,0.24696,0.482431265248996,0.0241215632624498,0.12348,0.1476015632624498
0.8,0.05,1,0.18806,0.42393499064197915,0.02119674953209896,0.09403,0.11522674953209897
0.8,0.05,2,0.2287,0.44895807560765594,0.0224479037803828,0.11435,0.13679790378038278
0.8,0.05,3,0.25876,0.4689593898025371,0.023447969490126855,0.12938,0.15282796949012684
0.8,0.1,1,0.19026,0.42083003029475713,0.021041501514737857,0.09513,0.11617150151473786
0.8,0.1,2,0.23112,0.4461673375862552,0.02230836687931276,0.11556,0.13786836687931275
0.8,0.1,3,0.26098,0.4662959785692106,0.023314798928460532,0.13049,0.15380479892846052
0.8,0.15,1,0.19264,0.41832092789051006,0.020916046394525503,0.09632,0.1172360463945255
0.8,0.15,2,0.23364,0.4438806130139411,0.022194030650697055,0.11682,0.13901403065069706
0.8,0.15,3,0.26338,0.46420078211329396,0.0232100391056647,0.13169,0.1549000391056647
0.8,0.2,1,0.19594,0.4165832910638417,0.020829164553192087,0.09797,0.11879916455319209
0.8,0.2,2,0.23648,0.44242716348950456,0.02212135817447523,0.11824,0.14036135817447523
0.8,0.2,3,0.26602,0.4629198499163691,0.023145992495818456,0.13301,0.15615599249581844
0.85,0.05,1,0.21386,0.39931064017904017,0.01996553200895201,0.10693,0.126895532008952
0.85,0.05,2,0.2563,0.4272657193301412,0.02136328596650706,0.12815,0.14951328596650704
0.85,0.05,3,0.28568,0.4491562536695885,0.022457812683479426,0.14284,0.16529781268347943
0.85,0.1,1,0.21698,0.396132975850414,0.0198066487925207,0.10849,0.1282966487925207
0.85,0.1,2,0.25934,0.42439479362427784,0.021219739681213892,0.12967,0.15088973968121389
0.85,0.1,3,0.28844,0.4465421500074476,0.02232710750037238,0.14422,0.16654710750037238
