container_id,n_points,et_r2,naive_r2,et_minus_naive_pp,note,horizon
c_10435,338,0.2651338781633893,0.25123536586761475,1.3898512295774545,,10min
c_10439,341,0.9064813690476239,0.9008930325508118,0.5588336496812119,,10min
c_10441,339,0.8780380971866529,0.8736449480056763,0.4393149180976663,,10min
c_10452,342,0.44089556254707996,0.43394356966018677,0.6951992886893188,,10min
c_10457,336,0.9219727033256512,0.9165154099464417,0.5457293379209527,,10min
c_10459,344,0.35115774085599605,0.3320782780647278,1.9079462791268265,,10min
c_10467,343,0.8138161357891479,0.7896051406860352,2.4210995103112753,,10min
c_10483,342,,,,constant_y_true,10min
c_10518,342,0.8925662935372449,0.8914428353309631,0.1123458206281791,,10min
c_10527,343,0.7287516805192353,0.7101329565048218,1.8618724014413557,,10min
c_10587,340,0.09750254187118823,0.06104940176010132,3.6453140111086912,,10min
c_10588,341,0.89326788094371,0.8844291567802429,0.8838724163467093,,10min
c_1060,343,0.7328485104149487,0.7127971053123474,2.0051405102601283,,10min
c_10603,338,0.9382352684331167,0.9346180558204651,0.3617212612651577,,10min
c_10605,342,0.2518102843568103,0.24702167510986328,0.47886092469470176,,10min
c_10619,338,0.8927976951062634,0.8860225677490234,0.6775127357239952,,10min
c_10620,343,0.3344258743668448,0.31354570388793945,2.0880170478905336,,10min
c_10632,335,0.9473523780305075,0.9434632658958435,0.388911213466403,,10min
c_10654,341,0.7636151448843477,0.753934383392334,0.968076149201369,,10min
c_10663,341,0.9119575389207458,0.9081287384033203,0.38288005174255124,,10min
c_10672,334,0.08429009883680172,0.05981236696243286,2.4477731874368858,,10min
c_10677,342,0.32311462851559414,0.3043826222419739,1.873200627362026,,10min
c_10684,343,0.9037677689679715,0.8999929428100586,0.3774826157912914,,10min
c_10704,343,0.910490035094474,0.9056583642959595,0.48316707985145424,,10min
c_10728,334,0.2631046324632076,0.26328688859939575,-0.01822561361881636,,10min
c_10749,342,-0.37960265320427755,-0.3571428060531616,-2.245984715111593,,10min
c_10775,336,0.4645681918429152,0.4549192190170288,0.9648972825886393,,10min
c_10810,343,0.9383525767392216,0.9361632466316223,0.21893301075992522,,10min
c_10813,339,-0.5179082350487094,-0.5448508262634277,2.6942591214718314,,10min
c_10816,342,-0.022241565089148763,-0.023455381393432617,0.12138163042838546,,10min
c_10821,338,0.7254668901345416,0.7148125171661377,1.065437296840388,,10min
