container_id,start_idx,end_idx,n_points
c_17430,185825,186146,321
c_17432,186146,186462,316
c_17439,186462,186767,305
c_17444,186767,187086,319
c_17465,187086,187392,306
c_1747,187392,187712,320
c_17471,187712,188030,318
c_17474,188030,188347,317
c_17475,188347,188667,320
c_17511,188667,188982,315
c_17518,188982,189300,318
c_17520,189300,189610,310
c_17530,189610,189924,314
c_17531,189924,190241,317
c_17558,190241,190561,320
c_1757,190561,190878,317
c_17570,190878,191197,319
c_17591,191197,191517,320
c_17610,191517,191835,318
c_17625,191835,192155,320
c_17632,192155,192476,321
c_17633,192476,192793,317
c_17664,192793,193112,319
c_1767,193112,193430,318
c_17679,193430,193752,322
c_1768,193752,194068,316
c_17736,194068,194383,315
c_17752,194383,194700,317
c_1777,194700,195018,318
c_17771,195018,195332,314
c_17776,195332,195652,320
c_17791,195652,195973,321
c_17804,195973,196292,319
c_17812,196292,196613,321
c_17818,196613,196934,321
c_17826,196934,197254,320
c_17837,197254,197556,302
c_17847,197556,197876,320
c_17858,197876,198198,322
c_17899,198198,198519,321
c_17904,198519,198836,317
c_17929,198836,199156,320
c_17942,199156,199474,318
c_17970,199474,199781,307
c_17979,199781,200102,321
c_1798,200102,200421,319
c_18004,200421,200741,320
c_1801,200741,201062,321
c_18014,201062,201382,320
c_18021,201382,201699,317
c_18027,201699,202019,320
c_18030,202019,202336,317
c_18057,202336,202651,315
c_18086,202651,202970,319
c_18091,202970,203290,320
c_18104,203290,203610,320
c_18123,203610,203931,321
c_18137,203931,204252,321
c_18138,204252,204567,315
c_18147,204567,204887,320
c_18158,204887,205208,321
c_18169,205208,205525,317
c_18194,205525,205845,320
c_18212,205845,206165,320
c_18217,206165,206479,314
c_18239,206479,206801,322
c_18244,206801,207122,321
c_18250,207122,207441,319
c_1827,207441,207763,322
c_18286,207763,208084,321
c_18294,208084,208405,321
c_18299,208405,208722,317
c_1835,208722,209043,321
c_18352,209043,209360,317
c_1836,209360,209682,322
c_18362,209682,210003,321
c_18383,210003,210324,321
c_1839,210324,210646,322
c_18406,210646,210955,309
c_18422,210955,211275,320
c_18426,211275,211595,320
c_1849,211595,211914,319
c_18503,211914,212234,320
c_18509,212234,212553,319
c_18522,212553,212873,320
c_18544,212873,213194,321
c_18548,213194,213514,320
c_18549,213514,213834,320
c_18555,213834,214155,321
c_18558,214155,214477,322
c_18581,214477,214794,317
c_18600,214794,215115,321
c_18638,215115,215434,319
c_18645,215434,215755,321
c_18677,215755,216073,318
c_18678,216073,216394,321
c_18705,216394,216711,317
c_18728,216711,217030,319
c_18733,217030,217347,317
c_18752,217347,217667,320
c_18753,217667,217977,310
c_18771,217977,218298,321
c_18779,218298,218616,318
c_18781,218616,218936,320
c_18783,218936,219248,312
c_18798,219248,219568,320
c_18808,219568,219886,318
c_18815,219886,220207,321
c_18821,220207,220525,318
c_18830,220525,220840,315
c_18844,220840,221161,321
c_18852,221161,221481,320
c_1886,221481,221797,316
c_18864,221797,222115,318
c_18876,222115,222436,321
c_18883,222436,222757,321
c_18885,222757,223074,317
c_18901,223074,223395,321
c_18904,223395,223716,321
c_18918,223716,224037,321
c_18943,224037,224352,315
c_18948,224352,224672,320
c_18950,224672,224992,320
c_18960,224992,225272,280
c_19017,225272,225592,320
c_1902,225592,225912,320
c_19032,225912,226232,320
c_19035,226232,226551,319
c_19117,226551,226868,317
c_19138,226868,227188,320
c_1914,227188,227506,318
c_19141,227506,227825,319
c_19153,227825,228144,319
c_19169,228144,228462,318
c_1917,228462,228781,319
c_19207,228781,229097,316
c_19208,229097,229403,306
c_19212,229403,229719,316
c_19292,229719,230040,321
c_19297,230040,230359,319
c_19300,230359,230678,319
c_19317,230678,230995,317
c_19341,230995,231315,320
c_1935,231315,231636,321
c_19356,231636,231955,319
c_19369,231955,232270,315
c_19374,232270,232588,318
c_19375,232588,232904,316
c_19377,232904,233220,316
c_19388,233220,233540,320
c_19396,233540,233859,319
c_19400,233859,234180,321
c_1941,234180,234500,320
c_19421,234500,234814,314
c_19433,234814,235129,315
c_19449,235129,235451,322
c_19457,235451,235744,293
c_19459,235744,236066,322
c_19464,236066,236381,315
c_19492,236381,236694,313
c_19497,236694,237011,317
c_19525,237011,237332,321
c_1953,237332,237653,321
c_19540,237653,237972,319
c_19552,237972,238293,321
c_19572,238293,238610,317
c_19573,238610,238922,312
c_19588,238922,239243,321
c_1960,239243,239560,317
c_19620,239560,239880,320
c_19628,239880,240201,321
c_19640,240201,240522,321
c_19646,240522,240842,320
c_19656,240842,241158,316
c_19664,241158,241477,319
c_19666,241477,241799,322
