container_id,dataset,horizon,horizon_min,model,r2,n_points,naive_r2,pred_key,source
c_11591,alibaba,h010,10,chronos2,0.32966780462184875,20,0.22689075630252098,y_pred_mean,foundation_npz
c_11601,alibaba,h010,10,chronos2,0.8336380762411347,20,0.8535804163806909,y_pred_mean,foundation_npz
c_11624,alibaba,h010,10,chronos2,0.40863749867176713,20,0.41770268834342794,y_pred_mean,foundation_npz
c_1163,alibaba,h010,10,chronos2,0.15700811455148433,20,0.17151592859256337,y_pred_mean,foundation_npz
c_11634,alibaba,h010,10,chronos2,0.5258956252743635,20,0.5258999122036875,y_pred_mean,foundation_npz
c_11642,alibaba,h010,10,chronos2,0.0400454089662875,20,-0.007311129163281915,y_pred_mean,foundation_npz
c_11655,alibaba,h010,10,chronos2,0.9786672590975595,20,0.9726061511642385,y_pred_mean,foundation_npz
c_1166,alibaba,h010,10,chronos2,0.851146584925897,20,0.8757521729440606,y_pred_mean,foundation_npz
c_11680,alibaba,h010,10,chronos2,0.9331117736728838,20,0.9521759923481588,y_pred_mean,foundation_npz
c_11687,alibaba,h010,10,chronos2,0.5433807373046875,20,0.6875,y_pred_mean,foundation_npz
c_11730,alibaba,h010,10,chronos2,0.605028299792838,20,0.5975140574134359,y_pred_mean,foundation_npz
c_11732,alibaba,h010,10,chronos2,0.635772352028864,20,0.6992133271633503,y_pred_mean,foundation_npz
c_11737,alibaba,h010,10,chronos2,0.7916822817591597,20,0.9073691175254321,y_pred_mean,foundation_npz
c_11739,alibaba,h010,10,chronos2,,20,,y_pred_mean,foundation_npz
c_11751,alibaba,h010,10,chronos2,0.39961112668161436,20,0.3721973094170403,y_pred_mean,foundation_npz
c_11759,alibaba,h010,10,chronos2,0.3685946727362205,20,0.3700787401574803,y_pred_mean,foundation_npz
c_1177,alibaba,h010,10,chronos2,0.6998716204353932,20,0.550561797752809,y_pred_mean,foundation_npz
c_11781,alibaba,h010,10,chronos2,0.051860462535511465,20,0.11931818181818188,y_pred_mean,foundation_npz
c_11787,alibaba,h010,10,chronos2,0.9050459665190151,20,0.8858693483379225,y_pred_mean,foundation_npz
c_11802,alibaba,h010,10,chronos2,0.8849626362226688,20,0.8773346269794519,y_pred_mean,foundation_npz
c_11809,alibaba,h010,10,chronos2,0.6163676697530864,20,0.5987654320987654,y_pred_mean,foundation_npz
c_11812,alibaba,h010,10,chronos2,,20,,y_pred_mean,foundation_npz
c_11820,alibaba,h010,10,chronos2,0.8009770778364116,20,0.841688654353562,y_pred_mean,foundation_npz
c_11821,alibaba,h010,10,chronos2,0.7252584556977911,20,0.4979919678714859,y_pred_mean,foundation_npz
c_11843,alibaba,h010,10,chronos2,0.4772072665662651,20,0.5373493975903614,y_pred_mean,foundation_npz
c_11857,alibaba,h010,10,chronos2,-0.03588101992164394,20,0.9053814311058546,y_pred_mean,foundation_npz
c_11864,alibaba,h010,10,chronos2,0.9628221089930525,20,0.9553992623724161,y_pred_mean,foundation_npz
c_11889,alibaba,h010,10,chronos2,0.43144735793165956,20,0.4844253490870033,y_pred_mean,foundation_npz
c_11917,alibaba,h010,10,chronos2,0.9362590814092356,20,0.9840764331210191,y_pred_mean,foundation_npz
c_1194,alibaba,h010,10,chronos2,-0.052798713387502305,20,-0.05263157894736836,y_pred_mean,foundation_npz
c_1195,alibaba,h010,10,chronos2,0.27417037577802916,20,0.26764206612238295,y_pred_mean,foundation_npz
c_11985,alibaba,h010,10,chronos2,0.6389826776277159,20,0.6852613035819143,y_pred_mean,foundation_npz
c_11999,alibaba,h010,10,chronos2,-0.08606709123222744,20,-0.13744075829383884,y_pred_mean,foundation_npz
c_12,alibaba,h010,10,chronos2,0.8872895262557078,20,0.897716894977169,y_pred_mean,foundation_npz
c_12008,alibaba,h010,10,chronos2,0.881992255060778,20,0.9274073713186037,y_pred_mean,foundation_npz
c_1203,alibaba,h010,10,chronos2,0.9040776639091246,20,0.9185084578343006,y_pred_mean,foundation_npz
