container_id,dataset,horizon,horizon_min,model,r2,n_points,naive_r2,pred_key,source
c_24078,alibaba,h060,60,chronos2,0.6961238347273044,20,0.5469594005924376,y_pred_mean,foundation_npz
c_24079,alibaba,h060,60,chronos2,-0.05939161411968352,20,-1.0178041543026706,y_pred_mean,foundation_npz
c_24081,alibaba,h060,60,chronos2,-0.0933580685618729,20,-0.07023411371237454,y_pred_mean,foundation_npz
c_24085,alibaba,h060,60,chronos2,-0.27746506211180133,20,-0.593611357586513,y_pred_mean,foundation_npz
c_24091,alibaba,h060,60,chronos2,0.36981498614156927,20,0.3892137751786875,y_pred_mean,foundation_npz
c_24100,alibaba,h060,60,chronos2,0.032660182663411086,20,0.05334335086401221,y_pred_mean,foundation_npz
c_24102,alibaba,h060,60,chronos2,-0.38222539992559534,20,-1.0,y_pred_mean,foundation_npz
c_24130,alibaba,h060,60,chronos2,0.5835268247377623,20,0.6083916083916083,y_pred_mean,foundation_npz
c_2414,alibaba,h060,60,chronos2,,20,,y_pred_mean,foundation_npz
c_24150,alibaba,h060,60,chronos2,0.154900703721374,20,-0.1832061068702291,y_pred_mean,foundation_npz
c_24190,alibaba,h060,60,chronos2,0.4835908534163136,20,0.576271186440678,y_pred_mean,foundation_npz
c_24193,alibaba,h060,60,chronos2,0.5070140214164547,20,0.5419847328244275,y_pred_mean,foundation_npz
c_2420,alibaba,h060,60,chronos2,-15.224611343876006,20,-167.70967741935485,y_pred_mean,foundation_npz
c_2422,alibaba,h060,60,chronos2,0.5549230483635956,20,0.6155570499887918,y_pred_mean,foundation_npz
c_24222,alibaba,h060,60,chronos2,-0.35162573066546776,20,-2.309352517985612,y_pred_mean,foundation_npz
c_24269,alibaba,h060,60,chronos2,-0.5635653409090908,20,-0.709090909090909,y_pred_mean,foundation_npz
c_2429,alibaba,h060,60,chronos2,-0.19845617046865316,20,-0.12973308504034775,y_pred_mean,foundation_npz
c_24300,alibaba,h060,60,chronos2,-0.53976077125186,20,-1.1428571428571428,y_pred_mean,foundation_npz
c_24323,alibaba,h060,60,chronos2,0.1765834263392857,20,0.13095238095238093,y_pred_mean,foundation_npz
