instance_id,n_points,hurst,acf_1h,acf_24h
instance_76,3456,0.7974791707164854,0.24126372015155426,0.5253312093265802
instance_77,3456,0.7922726475030771,0.06671629940261678,0.6719223092274028
instance_78,3456,1.0751438389253811,0.5242458357709232,0.8008359260195416
instance_79,3456,1.1564864246399917,0.5986030030553353,0.9025710224810828
instance_8,3456,1.1026679263814607,0.5571324510624526,0.8123253904924653
instance_80,3456,1.1387203423273546,0.5200781473830801,0.8346101459811558
instance_81,3456,0.9405721640978034,-0.15352594454267557,0.10839312682049652
instance_82,3456,0.8288571859450682,0.3481599106510577,0.6882020287217723
instance_83,3456,0.8454431027575862,0.49264778475364335,0.6344909499225447
instance_84,3456,1.0585381601778916,0.5314379247663757,0.7542359121056169
instance_85,3456,0.8541349632306632,0.4592145862570583,0.6908669256935763
instance_86,3456,1.091483657152012,0.05743587977861205,0.18386484459607305
instance_87,3456,0.8963570419359703,0.3909362013392477,0.5652838063368677
instance_88,3456,0.9285853804083823,0.4624995026314022,0.4184781732726824
instance_89,3456,0.979576911967392,0.6682139511699527,0.34780921931424663
instance_9,3456,1.1229453727711105,0.4060603240907688,0.6616693105826671
instance_90,3456,0.6370366462161445,0.10167224891379231,0.039714345531990596
instance_91,3456,0.7280579301498995,0.1468060441140246,0.2612363373364128
instance_92,3456,0.898349840122817,0.4209007478500713,0.5415364870731436
instance_93,3456,0.9558305767587663,0.9822057035352184,0.700953702242875
